VERIFICADO LT;ESTIMADO LT;CONFIGURADOR LT;VERIFICADO TR;ESTIMADO TR;CONFIGURADOR TR;VERIFICADO USINA;ESTIMADO USINA;VERIFICADO UG;ESTIMADO UG;CONFIGURADOR UG;VERIFICADO COMP;ESTIMADO COMP;CONFIGURADOR COMP;VERIFICADO BARRA;ESTIMADO BARRA;CONFIGURADOR BARRA;VERIFICADO UFE;ESTIMADO UFE;VERIFICADO CALC;DIGITAIS;PDP USINA;PDP CARGA
MSACL_138_LTSPJUP_1_MVAR.v;MSACL_138_LTSPJUP_1_MVAR.e;MSANA_230_LTMSDOU_1.c;MSANA_13P8_TRTF1_T_MVAR.v;MSANA_13P8_TRTF1_T_MVAR.e;MSBAN_138_CATR2.c;MSRBRT_GE_TOT_MVAR.v;MSRBRT_GE_TOT_MVAR.e;MSELDR_13P8_UG5_KV.v;MSELDR_13P8_UG5_KV.e;MSUSL_13P8_UG1.c;RSLIV3_13P8_CS1_KV.v;RSLIV3_13P8_CS1_KV.e;;MSBAV_138_BA7B1_KV.v;MSBAV_138_BA7B1_KV.e;MSBAV_138_BA7B1.c;ACO_S_CAGBSB_ECAB.v;ACO_S_CAGBSB_ECAB.e;RTN_FLN_DIN_ANA011.v;PRSCO_69P0_DJ5216_S.s;RPDP.Geracao.AD.A.DOCE;RPDP.Carga.AM
MSACL_138_LTSPJUP_1_MW.v;MSACL_138_LTSPJUP_1_MW.e;MSANA_230_LTMSSIA2_1.c;MSANA_13P8_TRTF1_T_MW.v;MSANA_13P8_TRTF1_T_MW.e;MSBAV_138_CATR1.c;MSRBRT_GE_TOT_MW.v;MSRBRT_GE_TOT_MW.e;MSELDR_13P8_UG5_MVAR.v;MSELDR_13P8_UG5_MVAR.e;MSUSL_13P8_UG2.c;RSLIV3_13P8_CS1_MVAR.v;RSLIV3_13P8_CS1_MVAR.e;;MSCAM_138_BA7B1_KV.v;MSCAM_138_BA7B1_KV.e;MSCAM_138_BA7B1.c;ACO_S_CAGBSB_HZ.v;ACO_S_CAGBSB_HZ.e;RTN_FLN_DIN_ANA012.v;PRSCO_69P0_DJ5223_S.s;RPDP.Geracao.AE.BURITI;RPDP.Carga.AMAZ ENERG D
MSAMD_230_LTMSIVI2_1_MVAR.v;MSAMD_230_LTMSIVI2_1_MVAR.e;MSAQU_138_LTMSCGI_1.c;MSANA_13P8_TRTF2_T_MVAR.v;MSANA_13P8_TRTF2_T_MVAR.e;MSCAM_138_CATR1.c;MSUAMA_GE_TOT_GDS.v;MSUAMA_GE_TOT_GDS.e;MSELDR_13P8_UG5_MW.v;MSELDR_13P8_UG5_MW.e;MSUSL_13P8_UG3.c;RSMRO2_11P0_CS3_KV.v;RSMRO2_11P0_CS3_KV.e;;MSCAO_138_BABP1_KV.v;MSCAO_138_BABP1_KV.e;MSCAM_138_BA7B2.c;ACO_S_CAGBSB_ILP.v;ACO_S_CAGBSB_ILP.e;RTN_FLN_DIN_ANA013.v;PRSCO_69P0_DJ5239_S.s;RPDP.Geracao.AE.PPEDRAS;RPDP.Carga.AMPLA
MSAMD_230_LTMSIVI2_1_MW.v;MSAMD_230_LTMSIVI2_1_MW.e;MSAQU_138_LTMSCGI_2.c;MSANA_13P8_TRTF2_T_MW.v;MSANA_13P8_TRTF2_T_MW.e;MSCAO_230_RTRIN1.c;MSUAMA_GE_TOT_MVAR.v;MSUAMA_GE_TOT_MVAR.e;MSELDR_13P8_UG6_GDS.v;MSELDR_13P8_UG6_GDS.e;MSUTLG_13P8_UG1A.c;RSMRO2_11P0_CS3_MVAR.v;RSMRO2_11P0_CS3_MVAR.e;;MSCAO_138_BABP2_KV.v;MSCAO_138_BABP2_KV.e;MSCAO_138_BABP1.c;ACO_S_CAGBSB_ILR.v;ACO_S_CAGBSB_ILR.e;RTN_FLN_DIN_ANA014.v;PRSCO_69P0_DJ5246_S.s;RPDP.Geracao.AF. CJPITOMBEIRA;RPDP.Carga.ANDE
MSANA_138_LTMSAQU_1_AMP.v;MSANA_138_LTMSAQU_1_AMP.e;MSAQU_138_LTMSCOR2_1.c;MSANA_230_TRTF1_P_AMP.v;MSANA_230_TRTF1_P_AMP.e;MSCAO_230_RTRIN2.c;MSUAMA_GE_TOT_MW.v;MSUAMA_GE_TOT_MW.e;MSELDR_13P8_UG6_KV.v;MSELDR_13P8_UG6_KV.e;MSUTLG_13P8_UG1B.c;RSMRO2_15P0_CS1_KV.v;RSMRO2_15P0_CS1_KV.e;;MSCAO_230_BABP1_KV.v;MSCAO_230_BABP1_KV.e;MSCAO_138_BABP2.c;ACO_S_CAGBSB_RAMPA.v;ACO_S_CAGBSB_RAMPA.e;RTN_FLN_DIN_ANA015.v;PRSCV_138_DJ5202_S.s;RPDP.Geracao.AG.CJSINACIO;RPDP.Carga.AP
MSANA_138_LTMSAQU_1_KV.v;MSANA_138_LTMSAQU_1_KV.e;MSAQU_138_LTMSMIR_1.c;MSANA_230_TRTF1_P_KV.v;MSANA_230_TRTF1_P_KV.e;MSCAO_230_RTRIN3.c;MSUHSD_GE_TOT_GDS.v;MSUHSD_GE_TOT_GDS.e;MSELDR_13P8_UG6_MVAR.v;MSELDR_13P8_UG6_MVAR.e;MSUTLG_13P8_UG1C.c;RSMRO2_15P0_CS1_MVAR.v;RSMRO2_15P0_CS1_MVAR.e;;MSCAO_230_BABP2_KV.v;MSCAO_230_BABP2_KV.e;MSCAO_230_BABP1.c;ACO_S_CAGFLN_BIAS.v;ACO_S_CAGFLN_BIAS.e;RTN_FLN_DIN_ANA016.v;PRSCV_138_DJ5207_S.s;RPDP.Geracao.AL.ALEGRIA;RPDP.Carga.AREA SP
MSANA_138_LTMSAQU_1_MVAR.v;MSANA_138_LTMSAQU_1_MVAR.e;MSATA_138_LTMSPAR_1.c;MSANA_230_TRTF1_P_MVAR.v;MSANA_230_TRTF1_P_MVAR.e;MSCAO_230_TR5.c;MSUHSD_GE_TOT_MVAR.v;MSUHSD_GE_TOT_MVAR.e;MSELDR_13P8_UG6_MW.v;MSELDR_13P8_UG6_MW.e;MSUTLG_13P8_UG2A.c;RSMRO2_15P0_CS2_KV.v;RSMRO2_15P0_CS2_KV.e;;MSCAS_138_BABP_KV.v;MSCAS_138_BABP_KV.e;MSCAO_230_BABP2.c;ACO_S_CAGFLN_BIASD.v;ACO_S_CAGFLN_BIASD.e;RTN_FLN_DIN_ANA017.v;PRSCV_138_DJ5212_S.s;RPDP.Geracao.AL.ALEGRIA 2;RPDP.Carga.AREMBEPE
MSANA_138_LTMSAQU_1_MW.v;MSANA_138_LTMSAQU_1_MW.e;MSATA_138_LTMSSEL_1.c;MSANA_230_TRTF1_P_MW.v;MSANA_230_TRTF1_P_MW.e;MSCAO_230_TR6.c;MSUHSD_GE_TOT_MW.v;MSUHSD_GE_TOT_MW.e;MSMIM_13P8_UG1_GDS.v;MSMIM_13P8_UG1_GDS.e;MSUTLG_13P8_UG2B.c;RSMRO2_15P0_CS2_MVAR.v;RSMRO2_15P0_CS2_MVAR.e;;MSCER_138_BA01_KV.v;MSCER_138_BA01_KV.e;MSCAS_138_BABP.c;ACO_S_CAGFLN_ECA.v;ACO_S_CAGFLN_ECA.e;RTN_FLN_DIN_ANA018.v;PRSCV_138_DJ5216_S.s;RPDP.Geracao.AM.APARECIDA 1;RPDP.Carga.ATIAIA
MSANA_138_LTMSAQU_2_AMP.v;MSANA_138_LTMSAQU_2_AMP.e;MSCAM_138_LTMSPAH_1.c;MSANA_230_TRTF2_P_AMP.v;MSANA_230_TRTF2_P_AMP.e;MSCAS_138_CATR1.c;MSUSL_GE_TOT_GDS.v;MSUSL_GE_TOT_GDS.e;MSMIM_13P8_UG1_KV.v;MSMIM_13P8_UG1_KV.e;MSUTLG_13P8_UG2C.c;;;;MSCGA_138_BAB1_KV.v;MSCGA_138_BAB1_KV.e;MSCER_138_BA01.c;ACO_S_CAGFLN_ECAB.v;ACO_S_CAGFLN_ECAB.e;RTN_FLN_DIN_ANA019.v;PRSCV_138_DJ5219_S.s;RPDP.Geracao.AM.APARECIDA 2;RPDP.Carga.BAESA
MSANA_138_LTMSAQU_2_KV.v;MSANA_138_LTMSAQU_2_KV.e;MSCAM_138_LTMSSGO_1.c;MSANA_230_TRTF2_P_KV.v;MSANA_230_TRTF2_P_KV.e;MSCGA_138_CATR1.c;MSUSL_GE_TOT_MVAR.v;MSUSL_GE_TOT_MVAR.e;MSMIM_13P8_UG1_MVA.v;MSMIM_13P8_UG1_MVA.e;MSUTOP_13P8_UG3.c;;;;MSCGB_138_BA7B1_KV.v;MSCGB_138_BA7B1_KV.e;MSCER_138_BA02.c;ACO_S_CAGFLN_HZ.v;ACO_S_CAGFLN_HZ.e;RTN_FLN_DIN_ANA020.v;PRSCV_138_DJ5256_S.s;RPDP.Geracao.AM.APARECIDA B1 5;RPDP.Carga.BAHIA 1
