Analógico;Digital;Configurador;ACO;ARE;CALC;PDP;SIS;SME;UFE
DFSE06_13P8_CA0604_MW.v;DFSTBS_138_CH6881_S.s;DFSESW_13P8_CADFSW14.c;;;;;;;
DFSE06_13P8_CA0607_AMP.v;DFSTBS_138_CH6883_S.s;DFSESW_13P8_CADFSW15.c;;;;;;;
DFSE06_13P8_CA0607_KV.v;DFSTBS_138_CH6885_S.s;DFSESW_13P8_CADFSW16.c;;;;;;;
DFSE06_13P8_CA0607_MVAR.v;DFSTBS_138_CH6887_S.s;DFSESW_13P8_CADFSW17.c;;;;;;;
DFSE06_13P8_CA0607_MW.v;DFSTBS_138_CH6889_S.s;DFSESW_13P8_CADFSW18.c;;;;;;;
DFSE06_13P8_CA0608_AMP.v;DFSTBS_138_CH689_S.s;DFSESW_13P8_CADFSW19.c;;;;;;;
DFSE06_13P8_CA0608_KV.v;DFSTBS_138_CH691_S.s;DFSESW_13P8_CADFSW20.c;;;;;;;
DFSE06_13P8_CA0608_MVAR.v;DFSTBS_138_CH693_S.s;DFSESW_13P8_CADFSW21.c;;;;;;;
DFSE06_13P8_CA0608_MW.v;DFSTBS_138_CH695_S.s;DFSESW_13P8_CADFSW22.c;;;;;;;
DFSE06_13P8_CA0609_AMP.v;DFSTBS_138_CH697_S.s;DFSESW_13P8_CADFSW23.c;;;;;;;
DFSE06_13P8_CA0609_KV.v;DFSTBS_138_CH699_S.s;DFSESW_13P8_CADFSW24.c;;;;;;;
DFSE06_13P8_CA0609_MVAR.v;DFSTBS_13P8_CH2301R_S.s;DFSESW_13P8_CADFTSA1.c;;;;;;;
DFSE06_13P8_CA0609_MW.v;DFSTBS_13P8_CH2303R_S.s;DFSESW_13P8_CADFTSA2.c;;;;;;;
DFSE06_13P8_CA0610_AMP.v;DFSTBS_13P8_CH2305R_S.s;DFSETG_138_CADFSERA_1.c;;;;;;;
DFSE06_13P8_CA0610_KV.v;DFSTBS_13P8_CH2611C_S.s;DFSETG_138_CADFSERD_1.c;;;;;;;
DFSE06_13P8_CA0610_MVAR.v;DFSTBS_13P8_CH2711C_S.s;DFSETG_138_CADFSERD_2.c;;;;;;;
DFSE06_13P8_CA0610_MW.v;DFSTBS_230_CH701_S.s;DFSETG_138_CATR1.c;;;;;;;
DFSE06_13P8_CA0613_AMP.v;DFSTBS_230_CH703_S.s;DFSETG_138_CATR2.c;;;;;;;
DFSE06_13P8_CA0613_KV.v;DFSTBS_230_CH7101_S.s;DFSETG_138_CATR3.c;;;;;;;
DFSE06_13P8_CA0613_MVAR.v;DFSTBS_230_CH7103_S.s;DFSETG_138_CATR4.c;;;;;;;
DFSE06_13P8_CA0613_MW.v;DFSTBS_230_CH7105_S.s;DFSTBG_13P8_CATR5.c;;;;;;;
DFSE06_13P8_CA0614_AMP.v;DFSTBS_230_CH7107_S.s;DFSTBG_34P5_CADFGUA_1.c;;;;;;;
DFSE06_13P8_CA0614_KV.v;DFSTBS_230_CH7109_S.s;DFSTBG_34P5_CADFGUA_2.c;;;;;;;
DFSE06_13P8_CA0614_MVAR.v;DFSTBS_230_CH7231_S.s;DFSTBG_34P5_CADFSE01_1.c;;;;;;;
DFSE06_13P8_CA0614_MW.v;DFSTBS_230_CH7233_S.s;DFSTBG_34P5_CADFSE01_2.c;;;;;;;
DFSE06_13P8_CA0615_AMP.v;DFSTBS_230_CH7235_S.s;DFSTBG_34P5_CADFSE01_3.c;;;;;;;
DFSE06_13P8_CA0615_KV.v;DFSTBS_230_CH7237_S.s;DFSTBG_34P5_CADFSE02_1.c;;;;;;;
DFSE06_13P8_CA0615_MVAR.v;DFSTBS_230_CH7239_S.s;DFSTBG_34P5_CADFSE02_2.c;;;;;;;
DFSE06_13P8_CA0615_MW.v;DFSTBS_230_CH731_S.s;DFSTBG_34P5_CADFSE02_3.c;;;;;;;
DFSE06_13P8_CA0620_AMP.v;DFSTBS_230_CH733_S.s;DFSTBG_34P5_CADFSE08_1.c;;;;;;;
DFSE06_13P8_CA0620_KV.v;DFSTBS_230_CH7341_S.s;DFSTBG_34P5_CADFSE08_2.c;;;;;;;
DFSE06_13P8_CA0620_MVAR.v;DFSTBS_230_CH7343_S.s;DFSTBS_138_CADFSECS_1.c;;;;;;;
DFSE06_13P8_CA0620_MW.v;DFSTBS_230_CH7345_S.s;DFSTBS_138_CADFSECS_2.c;;;;;;;
DFSE06_13P8_CA0621_AMP.v;DFSTBS_230_CH7347_S.s;DFSTBS_138_CADFSETG_1.c;;;;;;;
DFSE06_13P8_CA0621_KV.v;DFSTBS_230_CH7349_S.s;DFSTBS_138_CADFSETG_2.c;;;;;;;
DFSE06_13P8_CA0621_MVAR.v;DFSTBS_230_CH7351_S.s;DFSTSB_138_CADFEEAB_1.c;;;;;;;
DFSE06_13P8_CA0621_MW.v;DFSTBS_230_CH7353_S.s;DFSTSB_138_CADFSESO_1.c;;;;;;;
DFSE06_34P5_CA0306_AMP.v;DFSTBS_230_CH7355_S.s;DFSTSB_138_CADFSESO_2.c;;;;;;;
DFSE06_34P5_CA0306_KV.v;DFSTBS_230_CH7357_S.s;DFSTSB_138_CADFSNA_1.c;;;;;;;
DFSE06_34P5_CA0306_MVAR.v;DFSTBS_230_CH7359_S.s;GOALD_69P0_CATR3.c;;;;;;;
DFSE06_34P5_CA0306_MW.v;DFSTBS_230_CH735_S.s;GOALD_69P0_CATR4.c;;;;;;;
DFSE06_34P5_CA0406_AMP.v;DFSTBS_230_CH737_S.s;GOALD_69P0_CATR5.c;;;;;;;
DFSE06_34P5_CA0406_KV.v;DFSTBS_230_CH739_S.s;GOANH_138_CAGOANA_1.c;;;;;;;
DFSE06_34P5_CA0406_MVAR.v;DFSTBS_230_CH7421_S.s;GOANH_138_CAGOATL_1.c;;;;;;;
DFSE06_34P5_CA0406_MW.v;DFSTBS_230_CH7423_S.s;GOANH_138_CAGOBVI_1.c;;;;;;;
DFSE06_34P5_CA0506_AMP.v;DFSTBS_230_CH7425_S.s;GOANH_138_CAGOREL_1.c;;;;;;;
DFSE06_34P5_CA0506_KV.v;DFSTBS_230_CH7427_S.s;GOANH_138_CATR4.c;;;;;;;
DFSE06_34P5_CA0506_MVAR.v;DFSTBS_230_CH7429_S.s;GOANH_13P8_CATR1.c;;;;;;;
DFSE06_34P5_CA0506_MW.v;DFSTBS_230_CH7511_S.s;GOANH_13P8_CATR2.c;;;;;;;
DFSE06_34P5_CATR1_KV.v;DFSTBS_230_CH7513_S.s;GOANH_13P8_CATR3.c;;;;;;;
DFSE06_34P5_CATR1_MVAR.v;DFSTBS_230_CH7515_S.s;GOANH_69P0_CAGOCEP_1.c;;;;;;;
DFSE06_34P5_CATR1_MW.v;DFSTBS_230_CH7517_S.s;GOANH_69P0_CAGOETE_1.c;;;;;;;
DFSE06_34P5_CATR2_KV.v;DFSTBS_230_CH7519_S.s;GOANH_69P0_CATR5.c;;;;;;;
DFSE06_34P5_CATR2_MVAR.v;DFSTBS_230_CH751_S.s;GOAPR_138_CAT1.c;;;;;;;
DFSE06_34P5_CATR2_MW.v;DFSTBS_230_CH753_S.s;GOAPR_138_CAT2.c;;;;;;;
DFSE06_CARGA_TRAFO_138_MW.v;DFSTBS_230_CH755_S.s;GOASO2_230_CAGOTF1_01.c;;;;;;;
DFSE06_CARGA_TRAFO_34P5_MW.v;DFSTBS_230_CH757_S.s;GOBCQ_230_CAGOUTCA_1.c;;;;;;;
DFSEAC_138_CATR2_MVAR.v;DFSTBS_230_CH759_S.s;GOCAL_138_CATR1.c;;;;;;;
DFSEAC_138_CATR2_MW.v;DFSTBS_230_CH761_S.s;GOCAT_138_CAGOULT_1.c;;;;;;;
DFSEAC_138_CATR3_MVAR.v;DFSTBS_230_CH763_S.s;GOCAT_138_CATR2.c;;;;;;;
DFSEAC_138_CATR3_MW.v;DFSTBS_230_CH765_S.s;GOCAT_138_CATR3.c;;;;;;;
DFSEAC_138_CATR4_MVAR.v;DFSTBS_230_CH767_S.s;GOCAT_138_CATR5.c;;;;;;;
DFSEAC_138_CATR4_MW.v;DFSTBS_230_CH769_S.s;GOCJA_138_CAGOATL_1.c;;;;;;;
DFSEAC_13P8_CADFAC01_AMP.v;DFSTBS_345_CH801_S.s;GOCJA_138_CAGOCAM_1.c;;;;;;;
DFSEAC_13P8_CADFAC01_KV.v;DFSTBS_345_CH803_S.s;GOCJA_138_CAGOGOI_1.c;;;;;;;
DFSEAC_13P8_CADFAC01_MVAR.v;DFSTBS_345_CH8101_S.s;GOCJA_138_CAGOINP_1.c;;;;;;;
DFSEAC_13P8_CADFAC01_MW.v;DFSTBS_345_CH8103_S.s;GOCJA_138_CATR4.c;;;;;;;
DFSEAC_13P8_CADFAC02_AMP.v;DFSTBS_345_CH8105_S.s;GOCJA_138_CATR5.c;;;;;;;
DFSEAC_13P8_CADFAC02_KV.v;DFSTBS_345_CH8107_S.s;GOCJA_138_CATR6.c;;;;;;;
DFSEAC_13P8_CADFAC02_MVAR.v;DFSTBS_345_CH8109_S.s;GOCRI_138_CAGOSMA_1.c;;;;;;;
DFSEAC_13P8_CADFAC02_MW.v;DFSTBS_345_CH811_S.s;GOCRI_138_CAT1.c;;;;;;;
DFSEAC_13P8_CADFAC03_AMP.v;DFSTBS_345_CH813_S.s;GOCRI_138_CAT2.c;;;;;;;
DFSEAC_13P8_CADFAC03_KV.v;DFSTBS_345_CH815_S.s;GOCRL_138_CATF1.c;;;;;;;
DFSEAC_13P8_CADFAC03_MVAR.v;DFSTBS_345_CH817_S.s;GODAI_138_CAGOCTG.c;;;;;;;
DFSEAC_13P8_CADFAC03_MW.v;DFSTBS_345_CH819_S.s;GODAI_138_CAGOJUN_1.c;;;;;;;
DFSEAC_13P8_CADFAC04_AMP.v;DFSTBS_345_CH8210R_S.s;GODAI_138_CATR1.c;;;;;;;
DFSEAC_13P8_CADFAC04_KV.v;DFSTBS_345_CH8211_S.s;GODAI_138_CATR3.c;;;;;;;
DFSEAC_13P8_CADFAC04_MVAR.v;DFSTBS_345_CH8213_S.s;GODAI_138_CATR4.c;;;;;;;
DFSEAC_13P8_CADFAC04_MW.v;DFSTBS_345_CH8215_S.s;GODAI_138_CATR5.c;;;;;;;
DFSEAC_13P8_CADFAC05_AMP.v;DFSTBS_345_CH8217_S.s;GODMI_138_CATR1.c;;;;;;;
DFSEAC_13P8_CADFAC05_KV.v;DFSTBS_345_CH8219_S.s;GODSC_138_CAGOJAE_1.c;;;;;;;
DFSEAC_13P8_CADFAC05_MVAR.v;DFSTBS_345_CH821_S.s;GODSC_138_CAGOMED_1.c;;;;;;;
DFSEAC_13P8_CADFAC05_MW.v;DFSTBS_345_CH823_S.s;GODSC_138_CAGOPSN_1.c;;;;;;;
DFSEAC_13P8_CADFAC06_AMP.v;DFSTBS_345_CH825_S.s;GOEDET_138_CAGOUTT.c;;;;;;;
DFSEAC_13P8_CADFAC06_MVAR.v;DFSTBS_345_CH827_S.s;GOEDET_138_CAGOVT.c;;;;;;;
DFSEAC_13P8_CADFAC06_MW.v;DFSTBS_345_CH829_S.s;GOENDA_138_CAGODAI_1.c;;;;;;;
DFSEAC_13P8_CADFAC07_AMP.v;DFSTBS_345_CH831_S.s;GOETD_138_CAT1.c;;;;;;;
DFSEAC_13P8_CADFAC07_KV.v;DFSTBS_345_CH8331_S.s;GOETD_138_CAT2.c;;;;;;;
DFSEAC_13P8_CADFAC07_MVAR.v;DFSTBS_345_CH8333_S.s;GOETV_138_CAGOCS.c;;;;;;;
DFSEAC_13P8_CADFAC07_MW.v;DFSTBS_345_CH8335_S.s;GOFIR_138_CAGOINH_1.c;;;;;;;
DFSEAC_13P8_CADFAC08_AMP.v;DFSTBS_345_CH8337_S.s;GOFIR_138_CAGOIPO_1.c;;;;;;;
DFSEAC_13P8_CADFAC08_MVAR.v;DFSTBS_345_CH8339_S.s;GOFIR_138_CATR3.c;;;;;;;
DFSEAC_13P8_CADFAC08_MW.v;DFSTBS_345_CH833_S.s;GOFIR_69P0_CAGOANI_1.c;;;;;;;
DFSEAC_13P8_CADFAC09_AMP.v;DFSTBS_345_CH8341_S.s;GOFIR_69P0_CAGOIPO_1.c;;;;;;;
DFSEAC_13P8_CADFAC09_KV.v;DFSTBS_345_CH8343_S.s;GOFIR_69P0_CAGOSLB_1.c;;;;;;;
DFSEAC_13P8_CADFAC09_MVAR.v;DFSTBS_345_CH8345_S.s;GOFIR_69P0_CATR1.c;;;;;;;
DFSEAC_13P8_CADFAC09_MW.v;DFSTBS_345_CH8347_S.s;GOFIR_69P0_CATR2.c;;;;;;;
DFSEAC_13P8_CADFAC10_AMP.v;DFSTBS_345_CH8349_S.s;GOGOL_13P8_CATRA.c;;;;;;;
DFSEAC_13P8_CADFAC10_KV.v;DFSTBS_345_CH8351_S.s;GOGOL_13P8_CATRB.c;;;;;;;
DFSEAC_13P8_CADFAC10_MVAR.v;DFSTBS_345_CH8353_S.s;GOGOL_13P8_CATRC.c;;;;;;;
DFSEAC_13P8_CADFAC10_MW.v;DFSTBS_345_CH8355_S.s;GOINH_138_CAITA.c;;;;;;;
DFSEAC_13P8_CADFAC11_AMP.v;DFSTBS_345_CH8357_S.s;GOINH_138_CATR1.c;;;;;;;
DFSEAC_13P8_CADFAC11_KV.v;DFSTBS_345_CH8359_S.s;GOINH_138_CATR2.c;;;;;;;
DFSEAC_13P8_CADFAC11_MVAR.v;DFSTBS_345_CH835_S.s;GOIPG_138_CAGOT1_1.c;;;;;;;
DFSEAC_13P8_CADFAC11_MW.v;DFSTBS_345_CH837_S.s;GOIPG_138_CAGOUV8.c;;;;;;;
DFSEAC_13P8_CADFAC12_AMP.v;DFSTBS_345_CH839_S.s;GOIPG_138_CAGOYPE_1.c;;;;;;;
DFSEAC_13P8_CADFAC12_KV.v;DFSTBS_345_CH841_S.s;GOIPO_138_CAGOJUS_1.c;;;;;;;
DFSEAC_13P8_CADFAC12_MVAR.v;DFSTBS_345_CH843_S.s;GOIPO_138_CAGOT1.c;;;;;;;
DFSEAC_13P8_CADFAC12_MW.v;DFSTBS_345_CH845_S.s;GOIPO_138_CAGOT2.c;;;;;;;
DFSEAC_13P8_CADFAC13_AMP.v;DFSTBS_345_CH847_S.s;GOIPO_138_CAGOUMT_1.c;;;;;;;
DFSEAC_13P8_CADFAC13_KV.v;DFSTBS_345_CH849_S.s;GOIPO_138_CAGOUPC_1.c;;;;;;;
DFSEAC_13P8_CADFAC13_MVAR.v;DFSTBS_345_CH851_S.s;GOIPO_138_CAGOURN_1.c;;;;;;;
DFSEAC_13P8_CADFAC13_MW.v;DFSTBS_345_CH853_S.s;GOITP_138_CAGOMSG_1.c;;;;;;;
DFSEAC_13P8_CADFAC14_MVAR.v;DFSTBS_345_CH855_S.s;GOITP_230_CAGOMCA_1.c;;;;;;;
DFSEAC_13P8_CADFAC14_MW.v;DFSTBS_345_CH857_S.s;GOITP_69P0_CACGO.c;;;;;;;
DFSEAC_13P8_CADFAC15_AMP.v;DFSTBS_345_CH859_S.s;GOITP_69P0_CAGOCOD.c;;;;;;;
DFSEAC_13P8_CADFAC15_KV.v;DFSTBS_345_CH861_S.s;GOITP_69P0_CAGOMSG_1.c;;;;;;;
DFSEAC_13P8_CADFAC15_MVAR.v;DFSTBS_345_CH863_S.s;GOITP_69P0_CAGOMSG_2.c;;;;;;;
DFSEAC_13P8_CADFAC15_MW.v;DFSTBS_345_CH865_S.s;GOITP_69P0_CAGORIA_1.c;;;;;;;
DFSEAC_13P8_CADFAC16_MVAR.v;DFSTBS_345_CH867_S.s;GOITP_69P0_CAGORIA_2.c;;;;;;;
DFSEAC_13P8_CADFAC16_MW.v;DFSTBS_345_CH869_S.s;GOITP_69P0_CAGORUB_1.c;;;;;;;
DFSEAC_13P8_CADFAC17_AMP.v;DFSTBS_345_CH871_S.s;GOITP_69P0_CATR3.c;;;;;;;
DFSEAC_13P8_CADFAC17_KV.v;DFSTBS_345_CH873_S.s;GOITQ_138_CAT1.c;;;;;;;
DFSEAC_13P8_CADFAC17_MVAR.v;DFSTBS_345_CH875_S.s;GOITQ_138_CAT6.c;;;;;;;
DFSEAC_13P8_CADFAC17_MW.v;DFSTBS_345_CH877_S.s;GOJATT_138_CAGOAGEM_1.c;;;;;;;
DFSEAC_13P8_CADFAC18_MVAR.v;DFSTBS_345_CH879_S.s;GOJATT_138_CAGOUTJ_1.c;;;;;;;
DFSEAC_13P8_CADFAC18_MW.v;DFSTBS_345_CH881_S.s;GOJUN_138_CAGODAI_1.c;;;;;;;
DFSEAC_13P8_CADFAC19_AMP.v;DFSTBS_345_CH883_S.s;GOJUN_138_CATR1.c;;;;;;;
DFSEAC_13P8_CADFAC19_KV.v;DFSTBS_345_CH885_S.s;GOJUN_138_CATR2.c;;;;;;;
DFSEAC_13P8_CADFAC19_MVAR.v;DFSTBS_345_CH887_S.s;GOLUZ_138_CAGOCRI.c;;;;;;;
DFSEAC_13P8_CADFAC19_MW.v;DFSTBS_345_CH889_S.s;GOLUZ_138_CAGORIV.c;;;;;;;
DFSEAC_13P8_CADFAC20_MVAR.v;DFSTBS_345_CH891_S.s;GOMAJ_138_CATR1.c;;;;;;;
DFSEAC_13P8_CADFAC20_MW.v;DFSTBS_345_CH893_S.s;GOMAJ_138_CATR2.c;;;;;;;
DFSEAC_13P8_CADFAC21_AMP.v;DFSTBS_345_CH895_S.s;GOMBS_138_CAGOJLE_1.c;;;;;;;
DFSEAC_13P8_CADFAC21_KV.v;DFSTBS_345_CH897_S.s;GOMVET_138_CAGOUTAT_1.c;;;;;;;
DFSEAC_13P8_CADFAC21_MVAR.v;DFSTBS_345_CH899_S.s;GOMVET_138_CAGOUTMV_1.c;;;;;;;
DFSEAC_13P8_CADFAC21_MW.v;DFSTSB_138_CH601_S.s;GOPAC_138_CAT1.c;;;;;;;
DFSEAC_13P8_CADFAC22_MVAR.v;DFSTSB_138_CH603_S.s;GOPAC_138_CAT2.c;;;;;;;
DFSEAC_13P8_CADFAC22_MW.v;DFSTSB_138_CH6111_S.s;GOPAL_69P0_CAGOCEZ_1.c;;;;;;;
DFSEAC_13P8_CADFAC23_AMP.v;DFSTSB_138_CH6113_S.s;GOPAL_69P0_CAGOCEZ_2.c;;;;;;;
DFSEAC_13P8_CADFAC23_KV.v;DFSTSB_138_CH6115_S.s;GOPAL_69P0_CAGOPAF_1.c;;;;;;;
DFSEAC_13P8_CADFAC23_MVAR.v;DFSTSB_138_CH6117_S.s;GOPAL_69P0_CATR3.c;;;;;;;
DFSEAC_13P8_CADFAC23_MW.v;DFSTSB_138_CH6119_S.s;GOPLA_69P0_CAGOBAE_1.c;;;;;;;
DFSEAC_13P8_CADFAC24_MVAR.v;DFSTSB_138_CH6121_S.s;GOPLA_69P0_CAGOGTB_1.c;;;;;;;
DFSEAC_13P8_CADFAC24_MW.v;DFSTSB_138_CH6123_S.s;GOPLA_69P0_CAGOMOR_1.c;;;;;;;
DFSEAC_13P8_CADFAC26_MVAR.v;DFSTSB_138_CH6125_S.s;GOPLA_69P0_CAGOPON_1.c;;;;;;;
DFSEAC_13P8_CADFAC26_MW.v;DFSTSB_138_CH6127_S.s;GOPLA_69P0_CAGOVIC_1.c;;;;;;;
DFSEAC_13P8_CADFAC28_MVAR.v;DFSTSB_138_CH6129_S.s;GOPLA_69P0_CATR3.c;;;;;;;
DFSEAC_13P8_CADFAC28_MW.v;DFSTSB_138_CH6131_S.s;GOPLG_138_CAGOFLG_1.c;;;;;;;
DFSEAC_13P8_CADFACO6_AMP.v;DFSTSB_138_CH6133_S.s;GOPLG_138_CATR02.c;;;;;;;
DFSEAC_13P8_CADFACO6_MVAR.v;DFSTSB_138_CH6135_S.s;GOPMP_138_CAT1.c;;;;;;;
DFSEAC_13P8_CADFACO6_MW.v;DFSTSB_138_CH6137_S.s;GOPMP_138_CAT2.c;;;;;;;
DFSEAC_13P8_CADFSEAC_AC06_AMP.v;DFSTSB_138_CH6139_S.s;GOPOR_138_CAGOALV_1.c;;;;;;;
DFSEAC_13P8_CADFSEAC_AC06_MVAR.v;DFSTSB_138_CH6141_S.s;GOPOR_138_CAGOT1.c;;;;;;;
DFSEAC_13P8_CADFSEAC_AC06_MW.v;DFSTSB_138_CH6143_S.s;GOPOR_138_CAGOT2.c;;;;;;;
DFSEAC_13P8_CADFSEAC_AC08_AMP.v;DFSTSB_138_CH6145_S.s;GOPQE_138_CAGOPMIN.c;;;;;;;
DFSEAC_13P8_CADFSEAC_AC08_MVAR.v;DFSTSB_138_CH6147_S.s;GOPQE_138_CATR1.c;;;;;;;
DFSEAC_13P8_CADFSEAC_AC08_MW.v;DFSTSB_138_CH6149_S.s;GOPRB_230_CAGOCRM_1.c;;;;;;;
DFSEAC_CARGA_TRAFO_138_MW.v;DFSTSB_138_CH6151_S.s;GOPRB_69P0_CAGOGTB_1.c;;;;;;;
DFSEBC_138_CADFSEES_1_AMP.v;DFSTSB_138_CH6153_S.s;GOPRB_69P0_CAGOITU_1.c;;;;;;;
DFSEBC_138_CADFSEES_1_KV.v;DFSTSB_138_CH6155_S.s;GOPRB_69P0_CATR4.c;;;;;;;
DFSEBC_138_CADFSEES_1_MVAR.v;DFSTSB_138_CH6157_S.s;GOPRB_69P0_CATR5.c;;;;;;;
DFSEBC_138_CADFSEES_1_MW.v;DFSTSB_138_CH6159_S.s;GOPRS_138_CAGOANA_1.c;;;;;;;
DFSEBC_138_CATR2_MVAR.v;DFSTSB_138_CH6161_S.s;GOPRS_138_CAGOANA_2.c;;;;;;;
DFSEBC_138_CATR2_MW.v;DFSTSB_138_CH6163_S.s;GOPRS_138_CAGOCAOA_1.c;;;;;;;
DFSEBC_138_CATR3_MVAR.v;DFSTSB_138_CH6165_S.s;GOQUIT_138_CAGOTQU_1.c;;;;;;;
DFSEBC_138_CATR3_MW.v;DFSTSB_138_CH6167_S.s;GOQUIT_138_CAGOUBVT_1.c;;;;;;;
DFSEBC_138_CATR4_MVAR.v;DFSTSB_138_CH6169_S.s;GOQUI_138_CAGOUBV_1.c;;;;;;;
DFSEBC_138_CATR4_MW.v;DFSTSB_138_CH6181_S.s;GOQUI_138_CATR1.c;;;;;;;
DFSEBC_138_CATR6_MVAR.v;DFSTSB_138_CH6183_S.s;GOQXD_138_CATR1.c;;;;;;;
DFSEBC_138_CATR6_MW.v;DFSTSB_138_CH6185_S.s;GORBO_138_CAGOUVV_1.c;;;;;;;
DFSEBC_13P8_CA2040_AMP.v;DFSTSB_138_CH6187_S.s;GORBO_138_CATR1.c;;;;;;;
DFSEBC_13P8_CA2040_KV.v;DFSTSB_138_CH6189_S.s;GORBO_34P5_CATR1.c;;;;;;;
DFSEBC_13P8_CA2040_MVAR.v;DFSTSB_138_CH6191_S.s;GORCL_138_CAGOJK_1.c;;;;;;;
DFSEBC_13P8_CA2040_MW.v;DFSTSB_138_CH6193_S.s;GORCL_138_CAT1.c;;;;;;;
DFSEBC_13P8_CADFBC13_AMP.v;DFSTSB_138_CH6195_S.s;GORCL_69P0_CAGOJAT_1.c;;;;;;;
DFSEBC_13P8_CADFBC13_KV.v;DFSTSB_138_CH6197_S.s;GORCL_69P0_CATR3.c;;;;;;;
DFSEBC_13P8_CADFBC13_MVAR.v;DFSTSB_138_CH6199_S.s;GORIV_138_CAGOFRI_1.c;;;;;;;
DFSEBC_13P8_CADFBC13_MW.v;DFSTSB_138_CH6201_S.s;GORIV_138_CAGOPMP_1.c;;;;;;;
DFSEBC_13P8_CADFBC14_AMP.v;DFSTSB_138_CH6203_S.s;GORIV_138_CATR1.c;;;;;;;
DFSEBC_13P8_CADFBC14_KV.v;DFSTSB_138_CH6205_S.s;GORIV_138_CATR2.c;;;;;;;
DFSEBC_13P8_CADFBC14_MVAR.v;DFSTSB_138_CH6207_S.s;GORVE_138_CATR1.c;;;;;;;
DFSEBC_13P8_CADFBC14_MW.v;DFSTSB_138_CH6209_S.s;GORVE_138_CATR2.c;;;;;;;
DFSEBC_13P8_CADFBC15_AMP.v;DFSTSB_138_CH641_S.s;GORVE_138_CATR3.c;;;;;;;
DFSEBC_13P8_CADFBC15_KV.v;DFSTSB_138_CH643_S.s;GORVE_138_CATR5.c;;;;;;;
DFSEBC_13P8_CADFBC15_MVAR.v;DFSTSB_138_CH645_S.s;GORVE_69P0_CAGOCBU_1.c;;;;;;;
DFSEBC_13P8_CADFBC15_MW.v;DFSTSB_138_CH647_S.s;GORVE_69P0_CAGOSHE_1.c;;;;;;;
DFSEBC_13P8_CADFBC16_AMP.v;DFSTSB_138_CH649_S.s;GORVR_138_CAT1.c;;;;;;;
DFSEBC_13P8_CADFBC16_KV.v;DFSTSB_138_CH651_S.s;GORVR_138_CAT2.c;;;;;;;
DFSEBC_13P8_CADFBC16_MVAR.v;DFSTSB_138_CH653_S.s;GOSGN_138_CAT1.c;;;;;;;
DFSEBC_13P8_CADFBC16_MW.v;DFSTSB_138_CH655_S.s;GOSGN_138_CAT2.c;;;;;;;
DFSEBC_13P8_CADFBC17_AMP.v;DFSTSB_138_CH657_S.s;GOSMG_138_CAGOSESM_1.c;;;;;;;
DFSEBC_13P8_CADFBC17_KV.v;DFSTSB_138_CH659_S.s;GOSTBD_230_CAGOGYN2_1.c;;;;;;;
DFSEBC_13P8_CADFBC17_MVAR.v;DFSTSB_138_CH661_S.s;GOSTBT_230_CAGOAA_1.c;;;;;;;
DFSEBC_13P8_CADFBC17_MW.v;DFSTSB_138_CH663_S.s;GOSTBT_69P0_CAGOBR_1.c;;;;;;;
DFSEBC_13P8_CADFBC18_AMP.v;DFSTSB_138_CH665_S.s;GOSTBT_69P0_CAGOGNS_1.c;;;;;;;
DFSEBC_13P8_CADFBC18_KV.v;DFSTSB_138_CH667_S.s;GOSTBT_69P0_CAGOGNS_2.c;;;;;;;
DFSEBC_13P8_CADFBC18_MVAR.v;DFSTSB_138_CH669_S.s;GOSTBT_69P0_CAGOPBE_1.c;;;;;;;
DFSEBC_13P8_CADFBC18_MW.v;DFSTSB_138_CH671_S.s;GOSTNI_230_CAGOCDN_1.c;;;;;;;
DFSEBC_13P8_CADFBC19_AMP.v;DFSTSB_138_CH673_S.s;GOSTNI_230_CAGOCNT_1.c;;;;;;;
DFSEBC_13P8_CADFBC19_KV.v;DFSTSB_138_CH675_S.s;GOSTNI_69P0_CAGONQ_1.c;;;;;;;
DFSEBC_13P8_CADFBC19_MVAR.v;DFSTSB_138_CH677_S.s;GOSTNI_69P0_CAGONQ_2.c;;;;;;;
DFSEBC_13P8_CADFBC19_MW.v;DFSTSB_138_CH679_S.s;GOSTRV_138_CAGOACN_1.c;;;;;;;
DFSEBC_13P8_CADFBC20_AMP.v;DFSTSB_345_CH801_S.s;GOSTRV_138_CAGOPRD_1.c;;;;;;;
DFSEBC_13P8_CADFBC20_KV.v;DFSTSB_345_CH803_S.s;GOSTSM_138_CAGOMIC_1.c;;;;;;;
DFSEBC_13P8_CADFBC20_MVAR.v;DFSTSB_345_CH8041C_S.s;GOSTSM_138_CAGOPOR_1.c;;;;;;;
DFSEBC_13P8_CADFBC20_MW.v;DFSTSB_345_CH8043C_S.s;GOTQR_138_CATR1.c;;;;;;;
DFSEBC_13P8_CADFBC21_AMP.v;DFSTSB_345_CH8045C_S.s;GOTRID_138_CAGOT1.c;;;;;;;
DFSEBC_13P8_CADFBC21_KV.v;DFSTSB_345_CH8051C_S.s;GOUCD_138_CAGOCCE_1.c;;;;;;;
DFSEBC_13P8_CADFBC21_MVAR.v;DFSTSB_345_CH8053C_S.s;GOUCD_138_CAGOT1.c;;;;;;;
DFSEBC_13P8_CADFBC21_MW.v;DFSTSB_345_CH8055C_S.s;GOUCD_69P0_CAGOBJE_1.c;;;;;;;
DFSEBC_13P8_CADFBC22_AMP.v;DFSTSB_345_CH8111_S.s;GOUCD_69P0_CAGOITN_1.c;;;;;;;
