Analógico;Digital;Configurador;ACO;ARE;CALC;PDP;SIS;SME;UFE
ACO_NE_CJU_BA4EOUR_MVAR.v;ACAL_69P0_CHSY403_S.s;ACRB_230_BAP.c;ACO_NE_CAGREC_ILR.v;ARE_2LE_CA_GLOBAL_MW.v;RTN_BSB_DIN_ANA015.v;RPDP.Geracao.AL.ALEGRIA 2;SIS_BR_ARE_5ES_SA_ES_FX_STR_MW.v;SME_NE_AF_RSVGIR_MW.v;UFE_AP_FX_DMC_PTC_MW.v
ACO_NE_CJU_BA4EOUR_MW.v;ACAL_69P0_CHSY404_S.s;ACRB_230_BAT.c;ACO_NE_CAGREC_RAMPA.v;ARE_2LE_CA_SMMGD_GLOBAL_MW.v;RTN_BSB_DIN_ANA016.v;RPDP.Geracao.AM.APARECIDA 1;SIS_BR_ARE_5ES_SA_ES_GE_T1_MW.v;SME_NE_AL_AF_ELEV_GERAC_PATAMAR_1H.v;UFE_AP_FX_MACAPA_MW.v
ACO_NE_CJU_BA4EPND_GDS.v;ACAL_69P0_CHSY405_S.s;ACRB_69P0_BAP.c;ACO_NE_CAG_EMP_ECA.v;ARE_2LE_CA_TOT_MW.v;RTN_BSB_DIN_ANA017.v;RPDP.Geracao.AM.APARECIDA 2;SIS_BR_ARE_5ES_SA_ES_GE_T2B_MW.v;SME_NE_AL_AF_ELEV_GERAC_PATAMAR_1H30M.v;UFE_AP_GE_HID_GDS.v
ACO_NE_CJU_BA4EPND_MVAR.v;ACCS_230_CHSC211_S.s;ACRB_69P0_BAT.c;ACO_NE_CA_MW.v;ARE_2LE_GE_EOLICA_MW.v;RTN_BSB_DIN_ANA018.v;RPDP.Geracao.AM.APARECIDA B1 5;SIS_BR_ARE_5ES_SA_ES_IR_STR_MW.v;SME_NE_AL_AF_ELEV_GERAC_PROX_PATAMAR.v;UFE_AP_GE_HID_MW.v
ACO_NE_CJU_BA4EPND_MW.v;ACCS_230_CHSC212_S.s;ACTG_69P0_BAP.c;ACO_NE_CA_TOT_MW.v;ARE_2LE_GE_PARCIAL_MW.v;RTN_BSB_DIN_ANA019.v;RPDP.Geracao.AM.APARECIDA B1 6;SIS_BR_ARE_ALPE_SA_PE_FX_STR_MW.v;SME_NE_AL_AF_FPM.v;UFE_AP_GE_MMGD_MW.v
ACO_NE_CJU_BA5EIGT_GDS.v;ACCS_230_CHSC213_S.s;ACTG_69P0_BAT.c;ACO_NE_CJU_BA4ECLA_GDS.v;ARE_2LE_GE_SOLAR_FOTOVOLTAICA_MW.v;RTN_BSB_DIN_ANA020.v;RPDP.Geracao.AM.BALBINA;SIS_BR_ARE_NCO_MW.v;SME_NE_AL_AF_FPMS.v;UFE_AP_GE_TER_GDS.v
ACO_NE_CJU_BA5EIGT_MVAR.v;ACCS_230_CHSC214_S.s;ACTQ_69P0_BAP.c;ACO_NE_CJU_BA4ECLA_MVAR.v;ARE_2LE_GE_TERMICA_MW.v;RTN_BSB_DIN_ANA021.v;RPDP.Geracao.AM.DISTRITO A;SIS_BR_ARE_PBRN_SA_PB_CA_MW.v;SME_NE_AL_AF_FPMS_PARCELA_SINCRONOS.v;UFE_AP_GE_TER_MW.v
ACO_NE_CJU_BA5EIGT_MW.v;ACCS_230_CHSC216_S.s;ACTQ_69P0_BAT.c;ACO_NE_CJU_BA4ECLA_MW.v;ARE_2LE_GE_TOT_MW.v;RTN_BSB_DIN_ANA022.v;RPDP.Geracao.AM.DISTRITO B;SIS_BR_CAG_GER_TOTAL_MW.v;SME_NE_AL_AF_FPMS_PARCELA_UGE.v;UFE_AP_GE_TOT_GDS.v
ACO_NE_CJU_BAABD_GDS.v;ACCS_230_CHSC217_S.s;ACTUC_230_BA1.c;ACO_NE_CJU_BA4EOUR_GDS.v;ARE_2LE_GLV_TERMICA_MW.v;RTN_BSB_DIN_ANA023.v;RPDP.Geracao.AM.ELECTRON;SIS_BR_CAG_MARGEM_ELEV_PRG_MW.v;SME_NE_AL_AF_MW.S_HIDRAULICA_GER.v;UFE_AP_GE_TOT_MW.v
ACO_NE_CJU_BAABD_MVAR.v;ACCS_230_CHSC218_S.s;ACTUC_230_BA2.c;ACO_NE_CJU_BA4EOUR_MVAR.v;ARE_2LE_GLV_TOT_MW.v;RTN_BSB_DIN_ANA024.v;RPDP.Geracao.AM.FLORES 1;SIS_BR_CAG_MARGEM_RED_PRG_MW.v;SME_NE_AL_AF_MW.S_HIDRAULICA_SINC.v;UFE_AM_CARGA_SUBS1_MW.v
ACO_NE_CJU_BAABD_MW.v;ACCS_230_CHSC219_S.s;ACTUC_69P0_BAP.c;ACO_NE_CJU_BA4EOUR_MW.v;ARE_2LE_GTOT_MENOS_GTOT_ACD_MW.v;RTN_BSB_DIN_ANA025.v;RPDP.Geracao.AM.FLORES 2;SIS_BR_CAG_RES_ELEVAR_MW.v;SME_NE_AL_AF_REDUC_GERAC_PATAMAR_1H.v;UFE_AM_CARGA_SUBST_JOAO_PAULO_MW.v
ACO_NE_CJU_BAABL_GDS.v;ACCS_230_CHSC21_S.s;ACTUC_69P0_BAT.c;ACO_NE_CJU_BA4EPND_GDS.v;ARE_2MS_CA_GLOBAL_MW.v;RTN_BSB_DIN_ANA026.v;RPDP.Geracao.AM.FLORES 3;SIS_BR_CAG_RES_REDUZIR_MW.v;SME_NE_AL_AF_REDUC_GERAC_PATAMAR_1H30M.v;UFE_AM_CA_GLOBAL_MW.v
ACO_NE_CJU_BAABL_MVAR.v;ACCS_230_CHSC221_S.s;APCN_13P2_BA01.c;ACO_NE_CJU_BA4EPND_MVAR.v;ARE_2MS_CA_SMMGD_GLOBAL_MW.v;RTN_BSB_DIN_ANA027.v;RPDP.Geracao.AM.FLORES 4;SIS_BR_CAG_VIOLACAO_ELEV_NUM.v;SME_NE_AL_AF_REDUC_GERAC_PROX_PATAMAR.v;UFE_AM_CA_GLV_MW.v
ACO_NE_CJU_BAABL_MW.v;ACCS_230_CHSC222_S.s;APCY_138_BAA.c;ACO_NE_CJU_BA4EPND_MW.v;ARE_2MS_GE_MMGD_MW.v;RTN_BSB_DIN_ANA028.v;RPDP.Geracao.AM.IRANDUBA;SIS_BR_CAG_VIOLACAO_RED_NUM.v;SME_NE_AL_AF_RSVGIR_MW.V;UFE_AM_CA_MET_Manaus_MW.v
ACO_NE_CJU_BAALV_GDS.v;ACCS_230_CHSC224_S.s;APCY_138_BAP.c;ACO_NE_CJU_BA5EIGT_GDS.v;ARE_2MS_SA_GO_CA_MW.v;RTN_BSB_DIN_ANA029.v;RPDP.Geracao.AM.MAUA 1;SIS_BR_CALC_PI_ANA1_MW_1.v;SME_NE_AL_USINA_XINGO_AF_NUMERO_UNID_CAG.v;UFE_AM_CA_MET_Manaus_MW_TESTE.v
ACO_NE_CJU_BAALV_MW.v;ACCS_230_CHSC225_S.s;APFGO_230_BABP.c;ACO_NE_CJU_BA5EIGT_MVAR.v;ARE_2MS_SA_GO_FX_STR_MW.v;RTN_BSB_DIN_ANA030.v;RPDP.Geracao.AM.MAUA 3;SIS_BR_CALC_PI_ANA1_MW_2.v;SME_NE_BA_AF_ELEV_GERAC_PATAMAR_1H.v;UFE_AM_CA_SMMGD_GLOBAL_MW.v
